lastAppOpenAction lastAudioCable lastLocationChanged lastChargeCable lastWiFiConnected lastDataConnected lastBluetoothConnected lastLightChanged packName
AppOpenAction[com.sina.weibo] null null ChargeCableAction[] null DataConnectedAction[] null LightChangedAction[lighter] AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] ChargeCableAction[] null null null null AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] ChargeCableAction[] null null null null AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null LocationChangedAction[] ChargeCableAction[] null null null null AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] ChargeCableAction[] null null null null AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null LocationChangedAction[] ChargeCableAction[] null null null null AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] ChargeCableAction[] null null null null AppOpenAction[com.supercell.clashroyale]
AppOpenAction[com.supercell.clashroyale] null LocationChangedAction[] ChargeCableAction[] null null null null AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null LocationChangedAction[] ChargeCableAction[] null null null null AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] ChargeCableAction[] null null null null AppOpenAction[com.supercell.clashroyale]
AppOpenAction[com.supercell.clashroyale] null LocationChangedAction[] ChargeCableAction[] null null null null AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] ChargeCableAction[] null null null null AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null LocationChangedAction[] ChargeCableAction[] WiFiConnectedAction["Lancelot"] null null null AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] ChargeCableAction[] WiFiConnectedAction["Lancelot"] null null null AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null null null WiFiConnectedAction["Lancelot"] null null null AppOpenAction[com.android.browser]
AppOpenAction[com.android.browser] null null null WiFiConnectedAction["Lancelot"] null null null AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null null null WiFiConnectedAction["Lancelot"] null null null AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] null null null AppOpenAction[com.sina.weibo]
